SiteCode,MT,MTLabel,MTGroup,DateOut,NetSTN,BillCustomerType
NG,100,Refuse,REFUSE,2022-02-28,0.42,Commercial
NG,100,Refuse,REFUSE,2022-02-28,0.93,Commercial
27,100,Refuse,REFUSE,2022-02-28,0.61,Commercial
27,100,Refuse,REFUSE,2022-02-28,1.1,Residential
27,100,Refuse,REFUSE,2022-02-28,0.54,Commercial
27,100,Refuse,REFUSE,2022-02-28,1.91,Commercial
NG,100,Refuse,REFUSE,2022-02-28,4.86,Commercial
27,100,Refuse,REFUSE,2022-02-28,2.08,AR
27,100,Refuse,REFUSE,2022-02-28,0.17,Commercial
27,100,Refuse,REFUSE,2022-02-28,1.02,Commercial
NG,100,Refuse,REFUSE,2022-02-28,0.26,Commercial
27,100,Refuse,REFUSE,2022-02-28,0.51,Commercial
27,100,Refuse,REFUSE,2022-02-28,9.56,Contained
NG,100,Refuse,REFUSE,2022-02-28,0.27,Commercial
27,100,Refuse,REFUSE,2022-02-28,0.75,Commercial
27,100,Refuse,REFUSE,2022-02-28,0.33,Commercial
27,100,Refuse,REFUSE,2022-02-28,0.52,Commercial
NG,100,Refuse,REFUSE,2022-02-28,0.35,Commercial
27,100,Refuse,REFUSE,2022-02-28,0.37,Commercial
NG,100,Refuse,REFUSE,2022-02-28,0.15,Commercial
NG,100,Refuse,REFUSE,2022-02-28,7.41,Contained
NG,100,Refuse,REFUSE,2022-02-28,6.32,Other Dept
27,100,Refuse,REFUSE,2022-02-28,10,Contained
27,100,Refuse,REFUSE,2022-02-28,0.61,Commercial
NG,100,Refuse,REFUSE,2022-02-28,0.8,Commercial
