Charge Year,Month Name,Month Date,Customer Class,Consumption
2010,November,Nov 2010,Commercial,918373
2010,December,Dec 2010,Other,84108
2010,December,Dec 2010,Interdepartmental,45258
2010,December,Dec 2010,Commercial,853430
2010,December,Dec 2010,Residential,1029887
2011,January,Jan 2011,Other,52932
2011,January,Jan 2011,Interdepartmental,22777
2011,January,Jan 2011,Commercial,706999
2011,January,Jan 2011,Residential,852532
2011,February,Feb 2011,Other,53469
2011,February,Feb 2011,Interdepartmental,17665
2011,February,Feb 2011,Commercial,698554
2011,February,Feb 2011,Residential,853075
2011,March,Mar 2011,Other,60190
2011,March,Mar 2011,Interdepartmental,20408
2011,March,Mar 2011,Commercial,769110
2011,March,Mar 2011,Residential,930198
2011,April,Apr 2011,Commercial,757999
2011,April,Apr 2011,Residential,1019219
2011,April,Apr 2011,Interdepartmental,30677
2011,April,Apr 2011,Other,80166
2011,May,May 2011,Interdepartmental,87033
2011,May,May 2011,Other,146184
2011,May,May 2011,Residential,1205592
2011,May,May 2011,Commercial,837223
2011,June,Jun 2011,Residential,1444256
2011,June,Jun 2011,Commercial,1042451
2011,June,Jun 2011,Interdepartmental,162190
2011,June,Jun 2011,Other,167740
2011,July,Jul 2011,Commercial,1148189
2011,July,Jul 2011,Residential,1537966
2011,July,Jul 2011,Interdepartmental,187102
2011,July,Jul 2011,Other,169884
2011,August,Aug 2011,Residential,1440976
2011,August,Aug 2011,Commercial,1122198
2011,August,Aug 2011,Interdepartmental,184649
2011,August,Aug 2011,Other,161785
2011,September,Sep 2011,Residential,1474254
2011,September,Sep 2011,Commercial,1150652
2011,September,Sep 2011,Interdepartmental,185627
2011,September,Sep 2011,Other,161374
2011,October,Oct 2011,Residential,1257791
2011,October,Oct 2011,Commercial,987255
2011,October,Oct 2011,Interdepartmental,129269
2011,October,Oct 2011,Other,132369
2011,November,Nov 2011,Other,110908
2011,November,Nov 2011,Interdepartmental,59234
2011,November,Nov 2011,Commercial,990099
2011,November,Nov 2011,Residential,1166281
2011,December,Dec 2011,Other,65416
2011,December,Dec 2011,Interdepartmental,38788
2011,December,Dec 2011,Commercial,822472
2011,December,Dec 2011,Residential,961025
2012,January,Jan 2012,Residential,853989
2012,January,Jan 2012,Commercial,700108
2012,January,Jan 2012,Interdepartmental,21784
2012,January,Jan 2012,Other,44977
2012,February,Feb 2012,Commercial,717121
2012,February,Feb 2012,Residential,873427
2012,February,Feb 2012,Other,59879
2012,February,Feb 2012,Interdepartmental,19580
2012,March,Mar 2012,Other,68542
2012,March,Mar 2012,Interdepartmental,25199
2012,March,Mar 2012,Residential,937655
2012,March,Mar 2012,Commercial,773464
2012,April,Apr 2012,Commercial,812529
2012,April,Apr 2012,Residential,1084733
2012,April,Apr 2012,Interdepartmental,41603
2012,April,Apr 2012,Other,89883
2012,May,May 2012,Other,134466
2012,May,May 2012,Interdepartmental,130728
2012,May,May 2012,Commercial,879266
2012,May,May 2012,Residential,1230668
2012,June,Jun 2012,Commercial,1066054
2012,June,Jun 2012,Interdepartmental,200087
2012,June,Jun 2012,Residential,1479445
2012,June,Jun 2012,Other,172697
2012,July,Jul 2012,Residential,1520329
2012,July,Jul 2012,Commercial,1157490
2012,July,Jul 2012,Interdepartmental,227617
2012,July,Jul 2012,Other,185614
2012,August,Aug 2012,Residential,1375633
2012,August,Aug 2012,Commercial,1135845
2012,August,Aug 2012,Other,161084
2012,August,Aug 2012,Interdepartmental,175043
2012,September,Sep 2012,Other,158496
2012,September,Sep 2012,Interdepartmental,132511
2012,September,Sep 2012,Residential,1269098
2012,September,Sep 2012,Commercial,1026020
2012,October,Oct 2012,Commercial,886803
2012,October,Oct 2012,Interdepartmental,92725
2012,October,Oct 2012,Residential,1204742
2012,October,Oct 2012,Other,138049
2012,November,Nov 2012,Commercial,989617
2012,November,Nov 2012,Residential,1191161
2012,November,Nov 2012,Other,131707
2012,November,Nov 2012,Interdepartmental,73450
2012,December,Dec 2012,Other,86391
2012,December,Dec 2012,Interdepartmental,42891
2012,December,Dec 2012,Commercial,875565
2012,December,Dec 2012,Residential,1041676
2013,January,Jan 2013,Other,61237
2013,January,Jan 2013,Commercial,715211
2013,January,Jan 2013,Interdepartmental,22050
2013,January,Jan 2013,Residential,867529
2013,February,Feb 2013,Interdepartmental,17873
2013,February,Feb 2013,Other,53472
2013,February,Feb 2013,Residential,824503
2013,February,Feb 2013,Commercial,692039
2013,March,Mar 2013,Commercial,702861
2013,March,Mar 2013,Residential,847752
2013,March,Mar 2013,Interdepartmental,19878
2013,March,Mar 2013,Other,55056
2013,April,Apr 2013,Residential,1024546
2013,April,Apr 2013,Commercial,754399
2013,April,Apr 2013,Interdepartmental,37083
2013,April,Apr 2013,Other,80379
2013,May,May 2013,Interdepartmental,99291
2013,May,May 2013,Other,119696
2013,May,May 2013,Commercial,873403
2013,May,May 2013,Residential,1240022
2013,June,Jun 2013,Residential,1480171
2013,June,Jun 2013,Commercial,1077820
2013,June,Jun 2013,Other,157975
2013,June,Jun 2013,Interdepartmental,194606
2013,July,Jul 2013,Commercial,1161644
2013,July,Jul 2013,Residential,1551626
2013,July,Jul 2013,Interdepartmental,218926
2013,July,Jul 2013,Other,188720
2013,August,Aug 2013,Commercial,1145199
2013,August,Aug 2013,Interdepartmental,179144
2013,August,Aug 2013,Residential,1409945
2013,August,Aug 2013,Other,170873
2013,September,Sep 2013,Other,161482
2013,September,Sep 2013,Interdepartmental,162155
2013,September,Sep 2013,Commercial,1067028
2013,September,Sep 2013,Residential,1344379
2013,October,Oct 2013,Other,127119
2013,October,Oct 2013,Interdepartmental,99766
2013,October,Oct 2013,Residential,1231354
2013,October,Oct 2013,Commercial,928811
2013,November,Nov 2013,Commercial,963412
2013,November,Nov 2013,Residential,1190703
2013,November,Nov 2013,Interdepartmental,65316
2013,November,Nov 2013,Other,111783
2013,December,Dec 2013,Residential,959166
2013,December,Dec 2013,Interdepartmental,44273
2013,December,Dec 2013,Commercial,814590
2013,December,Dec 2013,Other,78453
2014,January,Jan 2014,Residential,889761
2014,January,Jan 2014,Commercial,729424
2014,January,Jan 2014,Other,60457
2014,January,Jan 2014,Interdepartmental,19552
2014,February,Feb 2014,Other,75249
2014,February,Feb 2014,Interdepartmental,19383
2014,February,Feb 2014,Commercial,751610
2014,February,Feb 2014,Residential,913053
2014,March,Mar 2014,Other,77451
2014,March,Mar 2014,Interdepartmental,23277
2014,March,Mar 2014,Commercial,744746
2014,March,Mar 2014,Residential,917793
2014,April,Apr 2014,Interdepartmental,41044
2014,April,Apr 2014,Other,97619
2014,April,Apr 2014,Commercial,784467
2014,April,Apr 2014,Residential,1040156
2014,May,May 2014,Commercial,917392
2014,May,May 2014,Residential,1225914
2014,May,May 2014,Interdepartmental,89706
2014,May,May 2014,Other,133979
2014,June,Jun 2014,Residential,1470259
2014,June,Jun 2014,Commercial,1104984
2014,June,Jun 2014,Interdepartmental,172518
2014,June,Jun 2014,Other,161652
2014,July,Jul 2014,Residential,1538364
2014,July,Jul 2014,Interdepartmental,235378
2014,July,Jul 2014,Commercial,1182688
2014,July,Jul 2014,Other,182054
2014,August,Aug 2014,Residential,1433419
2014,August,Aug 2014,Commercial,1163640
2014,August,Aug 2014,Interdepartmental,219761
2014,August,Aug 2014,Other,176903
2014,September,Sep 2014,Interdepartmental,135214
2014,September,Sep 2014,Other,152025
2014,September,Sep 2014,Commercial,1032732
2014,September,Sep 2014,Residential,1276362
2014,October,Oct 2014,Other,110839
2014,October,Oct 2014,Interdepartmental,54097
2014,October,Oct 2014,Commercial,855085
2014,October,Oct 2014,Residential,1046600
2014,November,Nov 2014,Other,112678
2014,November,Nov 2014,Interdepartmental,34412
2014,November,Nov 2014,Commercial,878644
2014,November,Nov 2014,Residential,1066444
2014,December,Dec 2014,Other,108739
2014,December,Dec 2014,Residential,1015757
2014,December,Dec 2014,Commercial,860440
2014,December,Dec 2014,Interdepartmental,30737
2015,January,Jan 2015,Other,62153
2015,January,Jan 2015,Interdepartmental,18452
2015,January,Jan 2015,Residential,833598
2015,January,Jan 2015,Commercial,722724
2015,February,Feb 2015,Residential,808805
2015,February,Feb 2015,Commercial,708707
2015,February,Feb 2015,Interdepartmental,16932
2015,February,Feb 2015,Other,67811
2015,March,Mar 2015,Interdepartmental,18190
2015,March,Mar 2015,Other,80803
