Month Date,Month,Year,Amount Type,Amount,Customer Type,Customer Count
05/01/2018,May,2018,Residential Therms,815181,Residential Count,61433
06/01/2018,Jun,2018,Commercial Therms,956184,Commercial Count,2289
06/01/2018,Jun,2018,Interdepartmental Therms,21743,Interdepartmental Count,115
06/01/2018,Jun,2018,Other Public Authority Therms,214893,Other Public Authority Count,113
06/01/2018,Jun,2018,Residential Therms,657052,Residential Count,61452
07/01/2018,Jul,2018,Commercial Therms,884431,Commercial Count,2278
07/01/2018,Jul,2018,Interdepartmental Therms,17074,Interdepartmental Count,116
07/01/2018,Jul,2018,Other Public Authority Therms,210109,Other Public Authority Count,113
07/01/2018,Jul,2018,Residential Therms,540017,Residential Count,60960
08/01/2018,Aug,2018,Commercial Therms,807218,Commercial Count,2288
08/01/2018,Aug,2018,Interdepartmental Therms,13877,Interdepartmental Count,116
08/01/2018,Aug,2018,Other Public Authority Therms,188279,Other Public Authority Count,114
08/01/2018,Aug,2018,Residential Therms,460988,Residential Count,61231
09/01/2018,Sep,2018,Commercial Therms,808471,Commercial Count,2275
09/01/2018,Sep,2018,Interdepartmental Therms,15575,Interdepartmental Count,116
09/01/2018,Sep,2018,Other Public Authority Therms,188861,Other Public Authority Count,113
09/01/2018,Sep,2018,Residential Therms,491184,Residential Count,61239
10/01/2018,Oct,2018,Commercial Therms,897850,Commercial Count,2301
10/01/2018,Oct,2018,Interdepartmental Therms,19666,Interdepartmental Count,116
10/01/2018,Oct,2018,Other Public Authority Therms,215726,Other Public Authority Count,113
10/01/2018,Oct,2018,Residential Therms,571874,Residential Count,61634
11/01/2018,Nov,2018,Commercial Therms,1033227,Commercial Count,2291
11/01/2018,Nov,2018,Interdepartmental Therms,23414,Interdepartmental Count,116
11/01/2018,Nov,2018,Other Public Authority Therms,238368,Other Public Authority Count,115
11/01/2018,Nov,2018,Residential Therms,901175,Residential Count,62194
12/01/2018,Dec,2018,Commercial Therms,1359034,Commercial Count,2281
12/01/2018,Dec,2018,Interdepartmental Therms,39691,Interdepartmental Count,116
12/01/2018,Dec,2018,Other Public Authority Therms,319310,Other Public Authority Count,113
12/01/2018,Dec,2018,Residential Therms,1787697,Residential Count,62527
01/01/2019,Jan,2019,Commercial Therms,1579631,Commercial Count,2284
01/01/2019,Jan,2019,Interdepartmental Therms,62853,Interdepartmental Count,116
01/01/2019,Jan,2019,Other Public Authority Therms,348934,Other Public Authority Count,113
01/01/2019,Jan,2019,Residential Therms,3150627,Residential Count,62740
02/01/2019,Feb,2019,Commercial Therms,1614593,Commercial Count,2306
02/01/2019,Feb,2019,Interdepartmental Therms,58252,Interdepartmental Count,115
02/01/2019,Feb,2019,Other Public Authority Therms,351051,Other Public Authority Count,113
02/01/2019,Feb,2019,Residential Therms,2878761,Residential Count,63225
03/01/2019,Mar,2019,Commercial Therms,1636019,Commercial Count,2299
03/01/2019,Mar,2019,Interdepartmental Therms,73229,Interdepartmental Count,113
03/01/2019,Mar,2019,Other Public Authority Therms,363063,Other Public Authority Count,113
03/01/2019,Mar,2019,Residential Therms,2647772,Residential Count,63329
04/01/2019,Apr,2019,Commercial Therms,1265627,Commercial Count,2300
04/01/2019,Apr,2019,Interdepartmental Therms,42071,Interdepartmental Count,113
04/01/2019,Apr,2019,Other Public Authority Therms,265393,Other Public Authority Count,113
04/01/2019,Apr,2019,Residential Therms,1281181,Residential Count,63412
05/01/2019,May,2019,Commercial Therms,1088303,Commercial Count,2303
05/01/2019,May,2019,Interdepartmental Therms,23322,Interdepartmental Count,113
05/01/2019,May,2019,Other Public Authority Therms,218082,Other Public Authority Count,113
05/01/2019,May,2019,Residential Therms,881072,Residential Count,63442
06/01/2019,Jun,2019,Commercial Therms,1065938,Commercial Count,2294
06/01/2019,Jun,2019,Interdepartmental Therms,23959,Interdepartmental Count,114
06/01/2019,Jun,2019,Other Public Authority Therms,236754,Other Public Authority Count,113
06/01/2019,Jun,2019,Residential Therms,786329,Residential Count,63472
07/01/2019,Jul,2019,Commercial Therms,918169,Commercial Count,2293
07/01/2019,Jul,2019,Interdepartmental Therms,18370,Interdepartmental Count,114
07/01/2019,Jul,2019,Other Public Authority Therms,206994,Other Public Authority Count,113
07/01/2019,Jul,2019,Residential Therms,603842,Residential Count,63130
08/01/2019,Aug,2019,Commercial Therms,847082,Commercial Count,2291
08/01/2019,Aug,2019,Interdepartmental Therms,17813,Interdepartmental Count,114
08/01/2019,Aug,2019,Other Public Authority Therms,187033,Other Public Authority Count,113
08/01/2019,Aug,2019,Residential Therms,505441,Residential Count,63311
