Date,Site_int,Month_int,SolarProductionDemand,Solar Production,TotalEnergyUsageAcrossSites
2017-06-01,3,6,49.0,2809.0,21556.0
2017-06-01,4,6,130.0,50222.0,50222.0
2017-06-01,5,6,233.0,56043.0,111199.0
2017-06-01,6,6,81.0,31450.0,40226.0
2017-06-01,7,6,263.0,8891.0,4918.0
2017-07-01,0,5,573.0,63203.0,318248.0
2017-07-01,1,5,92.0,32434.0,43141.0
2017-07-01,2,5,45.0,914.0,20708.0
2017-07-01,3,5,46.0,2501.0,22827.0
2017-07-01,4,5,113.0,46627.0,60965.0
2017-07-01,5,5,242.0,51540.0,127958.0
2017-07-01,6,5,94.0,31259.0,48713.0
2017-07-01,7,5,268.0,7156.0,4823.0
2017-08-01,0,1,552.0,60584.0,310354.0
2017-08-01,1,1,83.0,30622.0,42873.0
2017-08-01,2,1,40.0,903.0,17017.0
2017-08-01,3,1,45.0,2644.0,24019.0
2017-08-01,4,1,101.0,46221.0,54421.0
2017-08-01,5,1,270.0,49005.0,126531.0
2017-08-01,6,1,85.0,27309.0,46001.0
2017-08-01,7,1,269.0,7655.0,21669.0
2017-09-01,0,11,546.0,53405.0,267183.0
2017-09-01,1,11,84.0,28908.0,41563.0
2017-09-01,2,11,41.0,912.0,15122.0
2017-09-01,3,11,47.0,1288.0,20660.0
2017-09-01,4,11,102.0,42224.0,44071.0
2017-09-01,5,11,227.0,43421.0,111496.0
2017-09-01,6,11,85.0,26152.0,47563.0
2017-09-01,7,11,270.0,6461.0,19925.0
2017-10-01,0,10,471.0,45368.0,222629.0
2017-10-01,1,10,73.0,28854.0,35352.0
2017-10-01,2,10,27.0,880.0,10834.0
2017-10-01,3,10,40.0,0.0,18036.0
2017-10-01,4,10,78.0,37667.0,37895.0
2017-10-01,5,10,214.0,37012.0,105614.0
2017-10-01,6,10,85.0,23811.0,37749.0
2017-10-01,7,10,266.0,7492.0,24580.0
2017-11-01,0,9,398.0,30203.0,173424.0
2017-11-01,1,9,71.2,19984.0,31638.0
2017-11-01,2,9,28.3,707.0,8194.0
2017-11-01,3,9,33.7,0.0,13718.0
2017-11-01,4,9,69.4,25573.0,29106.0
2017-11-01,5,9,184.3,24369.0,87069.0
2017-11-01,6,9,76.2,17534.0,32723.0
2017-11-01,7,9,268.0,3729.0,18462.0
2017-12-01,0,2,404.0,26523.0,184250.0
2017-12-01,1,2,59.5,14192.0,27323.0
2017-12-01,2,2,28.3,604.0,8431.0
2017-12-01,3,2,32.0,0.0,12809.0
2017-12-01,4,2,64.2,24511.0,28162.0
2017-12-01,5,2,244.0,21424.0,63498.0
2017-12-01,6,2,56.0,12619.0,28209.0
2017-12-01,7,2,263.0,3037.0,8203.0
2018-01-01,0,4,422.8,29948.0,168162.0
2018-01-01,1,4,62.6,15958.0,30290.0
2018-01-01,2,4,25.6,630.0,8214.0
2018-01-01,3,4,31.7,0.0,11893.0
2018-01-01,4,4,62.1,27914.0,27914.0
2018-01-01,5,4,215.0,24450.0,79899.0
2018-01-01,6,4,63.0,14444.0,29004.0
2018-01-01,7,4,270.3,4036.0,11736.0
2018-02-01,0,3,379.0,34073.0,159770.0
2018-02-01,1,3,63.0,18582.0,26007.0
2018-02-01,2,3,25.2,676.0,7087.0
2018-02-01,3,3,33.6,0.0,10169.0
2018-02-01,4,3,65.7,30024.0,25796.0
2018-02-01,5,3,175.2,27461.0,77074.0
2018-02-01,6,3,60.3,16277.0,24561.0
2018-02-01,7,3,268.3,3720.0,25056.0
2018-03-01,0,7,369.9,50595.0,182247.0
2018-03-01,1,7,59.0,22582.0,28082.0
2018-03-01,2,7,30.8,906.0,8293.0
2018-03-01,3,7,26.1,0.0,10678.0
2018-03-01,4,7,64.4,43670.0,31347.0
2018-03-01,5,7,167.0,40541.0,87149.0
2018-03-01,6,7,57.0,19150.0,24580.0
2018-03-01,7,7,269.7,4807.0,18162.0
2018-04-01,0,0,416.3,61356.0,193487.0
2018-04-01,1,0,68.5,29908.0,29318.0
