Row ID,Site,Year,Month,Month Date,Usage Charges,kW,Solar Production,Total Building Energy Use kWh,Time of Use Plan Flag,On Peak kWh,Shoulder Peak kWh,Off Peak kWh,Total Net Billable,Solar Savings,SRP charges Without Solar,Owner
147,Fire Stn 219,2015,January,01/01/2015,912.5,38,693,10010,false,,,,,70.5464634999999,983.0464635,City
148,Fire Stn 220,2015,January,01/01/2015,1009.05,31,1409,12651,false,,,,,86.0971499499998,1095.14714995,City
149,PD Fiesta Substn,2015,January,01/01/2015,2361.53,79,24670,33371,false,,,,,445.189657949999,2806.71965795,Tesla
150,RM Multigen,2015,January,01/01/2015,6394.98,190,23342,51577,false,,,,,-1460.25946035,4934.72053965,Tesla
151,RM PD,2015,January,01/01/2015,2586.38,70,14388,31448,false,,,,,5.20486859999983,2591.5848686,Tesla
152,Solfocus,2015,January,01/01/2015,556.21,273,5812,10738,false,,,,,1642.0735169,2198.2835169,City
153,EMSC and RM Library,2015,February,02/01/2015,15569.68,504,36935,171845,true,28618,57602,150397,236617,-4314.14596795,11255.53403205,Tesla
154,Fire Stn 212 PD,2015,February,02/01/2015,2806.48,73,20242,32932,false,,,,,-97.7315461000003,2708.7484539,Tesla
155,Fire Stn 219,2015,February,02/01/2015,717.46,33,711,7758,false,,,,,71.6488150999999,789.1088151,City
156,Fire Stn 220,2015,February,02/01/2015,797.42,29,1583,9993,false,,,,,128.32614385,925.74614385,City
157,PD Fiesta Substn,2015,February,02/01/2015,2046.84,79,31434,32014,false,,,,,686.7143568,2733.5543568,Tesla
158,RM Multigen,2015,February,02/01/2015,6639.78,208,30516,47216,false,,,,,-1908.1533738,4731.6266262,Tesla
159,RM PD,2015,February,02/01/2015,2212.98,57,15288,27430,false,,,,,0.979627000000164,2213.959627,Tesla
160,Solfocus,2015,February,02/01/2015,1619.89,272,7296,27572,false,,,,,1921.3787336,3541.2687336,City
161,EMSC and RM Library,2015,March,03/01/2015,21082.48,471,50087,175373,true,24183,28393,72711,125287,-6500.62066715,14581.85933285,Tesla
162,Fire Stn 212 PD,2015,March,03/01/2015,2580.06,69,23149,30794,false,,,,,-36.1204272,2543.9395728,Tesla
163,Fire Stn 219,2015,March,03/01/2015,689.41,27,817,7915,false,,,,,73.6666527499999,763.07665275,City
164,Fire Stn 220,2015,March,03/01/2015,767.56,26,1891,10114,false,,,,,128.8817953,896.4417953,City
165,PD Fiesta Substn,2015,March,03/01/2015,2357.61,82,37890,37890,false,,,,,729.9111865,3087.5211865,Tesla
166,RM Multigen,2015,March,03/01/2015,7680.8,220,40787,51263,false,,,,,-2581.87220165,5098.92779835,Tesla
167,RM PD,2015,March,03/01/2015,2569.97,65,20969,32171,false,,,,,-1.32122905000006,2568.64877095,Tesla
168,Solfocus,2015,March,03/01/2015,601.19,271,8719,19371,false,,,,,2278.63542355,2879.82542355,City
169,EMSC and RM Library,2015,April,04/01/2015,22956.72,504,56408,164776,true,24015,30175,110585,164775,-10658.2989293,12298.4210707,Tesla
170,Fire Stn 212 PD,2015,April,04/01/2015,2668.9,73,30868,31618,false,,,,,-30.9984184000004,2637.9015816,Tesla
171,Fire Stn 219,2015,April,04/01/2015,736.36,26,947,8357,false,,,,,52.43665865,788.79665865,City
172,Fire Stn 220,2015,April,04/01/2015,891.3,36,2230,10885,false,,,,,142.53590625,1033.83590625,City
173,PD Fiesta Substn,2015,April,04/01/2015,2963.64,85,46913,46913,false,,,,,647.524657849999,3611.16465785,Tesla
174,RM Multigen,2015,April,04/01/2015,7178,259,46016,34954,false,,,,,-3108.4789223,4069.5210777,Tesla
175,RM PD,2015,April,04/01/2015,2698.61,65,25851,34465,false,,,,,-6.27574575000108,2692.33425425,Tesla
176,Solfocus,2015,April,04/01/2015,806.16,263,8944,19046,false,,,,,2009.0056023,2815.1656023,City
177,EMSC and RM Library,2015,May,05/01/2015,29344.48,504,64642,183875,true,31777,53908,98189,183874,-11789.06456985,17555.41543015,Tesla
178,Fire Stn 212 PD,2015,May,05/01/2015,2691.41,73,31200,31200,false,,,,,487.87481,3179.28481,Tesla
179,Fire Stn 219,2015,May,05/01/2015,938.93,29,854,8663,false,,,,,75.1720864500002,1014.10208645,City
180,Fire Stn 220,2015,May,05/01/2015,1319.48,38,2104,13443,false,,,,,174.72929545,1494.20929545,City
